"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"716","SLIM2 GO BP","GO:0051276","chromosome organization","LinearUp-2",0.0181,32,623,421,2,"LinearUp-2, LinearUp-3"
"717","FlyBase Gene Group","FBgg0000484","MITOCHONDRIAL COMPLEX III SUBUNITS","LinearDown-6",0.0182,6,13,1320,1,"LinearDown-6"
"718","FlyBase Gene Group","FBgg0001684","MITOCHONDRIAL COMPLEX III - SUPERNUMERARY SUBUNITS","LinearDown-6",0.0182,5,9,1320,1,"LinearDown-6"
"719","FlyBase Gene Group","FBgg0000084","SOLUBLE N-ETHYLMALEIMIDE-SENSITIVE FACTOR-ATTACHMENT PROTEINS","LinearDown-6",0.0183,3,3,1320,1,"LinearDown-6"
"720","FlyBase Gene Group","FBgg0000111","VACUOLAR ATPASE SUBUNITS","LinearDown-6",0.0183,10,33,1320,1,"LinearDown-6"
"721","FlyBase Gene Group","FBgg0000464","HETEROTRIMERIC G-PROTEIN BETA SUBUNITS","LinearDown-6",0.0183,3,3,1320,1,"LinearDown-6"
"722","FlyBase Gene Group","FBgg0000694","SLC19 FAMILY OF VITAMIN TRANSPORTERS","LinearDown-6",0.0183,3,3,1320,1,"LinearDown-6"
"723","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-4",0.0183,8,2313,15,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"724","DRSC GLAD Gene Group","GLAD:24599","Receptors","LinearDown-6",0.0183,77,588,1320,2,"LinearDown-4, LinearDown-6"
"725","SLIM2 GO BP","GO:0000226","microtubule cytoskeleton organization","LinearUp-3",0.0184,17,349,286,1,"LinearUp-3"
"726","SLIM2 GO BP","GO:0007626","locomotory behavior","LinearDown-4",0.0189,10,186,259,2,"LinearDown-4, LinearDown-6"
"727","DRSC GLAD Gene Group","GLAD:24602","Secreted proteins","Complex-7",0.0191,9,671,66,3,"Complex-12, Complex-7, LinearUp-5"
"728","SLIM2 GO CC","GO:0005829","cytosol","Complex-7",0.0193,10,790,66,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"729","SLIM2 GO MF","GO:0016874","ligase activity","Complex-7",0.0193,4,119,66,2,"Complex-7, LinearUp-5"
"730","SLIM2 GO MF","GO:0005085","guanyl-nucleotide exchange factor activity","LinearDown-4",0.0194,7,84,259,1,"LinearDown-4"
"731","SLIM2 GO MF","GO:0008289","lipid binding","LinearDown-4",0.0194,10,166,259,1,"LinearDown-4"
"732","SLIM2 GO BP","GO:0051276","chromosome organization","LinearUp-3",0.0194,25,623,286,2,"LinearUp-2, LinearUp-3"
"733","SLIM2 GO BP","GO:0051301","cell division","LinearUp-3",0.0194,14,269,286,3,"LinearUp-2, LinearUp-3, LinearUp-7"
"734","REACTOME pathway","R-DME-77289","Mitochondrial Fatty Acid Beta-Oxidation","LinearUp-6",0.0194,3,16,115,2,"Complex-7, LinearUp-6"
"735","REACTOME pathway","R-DME-9013149","RAC1 GTPase cycle","LinearDown-4",0.0195,7,76,259,1,"LinearDown-4"
"736","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","Complex-3",0.0197,5,589,21,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"737","FlyBase Gene Group","FBgg0000985","ALDEHYDE OR OXO OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-3",0.0197,2,36,21,1,"Complex-3"
"738","FlyBase Gene Group","FBgg0000987","ALDEHYDE OR OXO GROUP OXIDOREDUCTASES","Complex-3",0.0197,2,48,21,1,"Complex-3"
"739","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-3",0.0197,13,3610,21,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"740","FlyBase Gene Group","FBgg0000811","CARBON-SULFUR LIGASES","Complex-2",0.0198,2,37,27,1,"Complex-2"
"741","FlyBase Gene Group","FBgg0000927","UNCLASSIFIED CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-2",0.0198,2,35,27,2,"Complex-10, Complex-2"
"742","SLIM2 GO BP","GO:0006091","generation of precursor metabolites and energy","Complex-12",0.0199,11,218,219,3,"Complex-12, Complex-3, LinearDown-6"
"743","SLIM2 GO BP","GO:0006811","ion transport","Complex-12",0.0199,19,514,219,2,"Complex-12, LinearDown-6"
"744","DRSC GLAD Gene Group","GLAD:24587","GPCRs","LinearDown-4",0.0201,12,246,259,1,"LinearDown-4"
"745","SLIM2 GO BP","GO:0006351","transcription, DNA-templated","LinearUp-5",0.0202,83,1182,699,1,"LinearUp-5"
"746","FlyBase Gene Group","FBgg0000550","ABCH ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY","LinearDown-1",0.0206,2,3,167,1,"LinearDown-1"
"747","FlyBase Gene Group","FBgg0000924","CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","LinearDown-1",0.0206,7,106,167,4,"Complex-10, Complex-2, Complex-7, LinearDown-1"
"748","FlyBase Gene Group","FBgg0001715","ENZYMES","LinearDown-1",0.0206,66,3610,167,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"749","FlyBase Gene Group","FBgg0001708","MONOOXYGENASES","LinearUp-1",0.0207,11,106,438,3,"Complex-6, Complex-9, LinearUp-1"
"750","FlyBase Gene Group","FBgg0000341","RAS SUPERFAMILY GUANINE NUCLEOTIDE EXCHANGE FACTORS","LinearDown-4",0.0209,7,76,259,1,"LinearDown-4"
"751","REACTOME pathway","R-DME-5357905","Regulation of TNFR1 signaling","LinearUp-1",0.0211,3,11,438,2,"Complex-6, LinearUp-1"
"752","REACTOME pathway","R-DME-75893","TNF signaling","LinearUp-1",0.0211,3,11,438,2,"Complex-6, LinearUp-1"
"753","REACTOME pathway","R-DME-937039","IRAK1 recruits IKK complex","LinearUp-1",0.0211,3,11,438,2,"Complex-6, LinearUp-1"
"754","REACTOME pathway","R-DME-975144","IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation","LinearUp-1",0.0211,3,11,438,2,"Complex-6, LinearUp-1"
"755","REACTOME pathway","R-DME-114508","Effects of PIP2 hydrolysis","LinearDown-6",0.0214,5,10,1320,1,"LinearDown-6"
"756","REACTOME pathway","R-DME-193634","Axonal growth inhibition (RHOA activation)","LinearDown-6",0.0214,5,10,1320,1,"LinearDown-6"
"757","REACTOME pathway","R-DME-193697","p75NTR regulates axonogenesis","LinearDown-6",0.0214,5,10,1320,1,"LinearDown-6"
"758","REACTOME pathway","R-DME-212676","Dopamine Neurotransmitter Release Cycle","LinearDown-6",0.0214,7,19,1320,2,"LinearDown-4, LinearDown-6"
"759","REACTOME pathway","R-DME-442755","Activation of NMDA receptors and postsynaptic events","LinearDown-6",0.0214,8,24,1320,1,"LinearDown-6"
"760","REACTOME pathway","R-DME-5140745","WNT5A-dependent internalization of FZD2, FZD5 and ROR2","LinearDown-6",0.0214,5,10,1320,1,"LinearDown-6"
"761","REACTOME pathway","R-DME-68875","Mitotic Prophase","LinearUp-7",0.0214,4,49,130,1,"LinearUp-7"
"762","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-12",0.0215,21,647,219,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"763","REACTOME pathway","R-DME-5368287","Mitochondrial translation","LinearDown-5",0.0218,11,86,421,2,"LinearDown-2, LinearDown-5"
"764","REACTOME pathway","R-DME-5419276","Mitochondrial translation termination","LinearDown-5",0.0218,11,85,421,1,"LinearDown-5"
"765","FlyBase Gene Group","FBgg0000342","RAS GUANINE NUCLEOTIDE EXCHANGE FACTORS","LinearDown-4",0.0219,3,10,259,1,"LinearDown-4"
"766","REACTOME pathway","R-DME-1852241","Organelle biogenesis and maintenance","LinearDown-6",0.0219,11,41,1320,1,"LinearDown-6"
"767","REACTOME pathway","R-DME-373076","Class A/1 (Rhodopsin-like receptors)","LinearDown-6",0.0219,11,41,1320,2,"LinearDown-4, LinearDown-6"
"768","REACTOME pathway","R-DME-397014","Muscle contraction","LinearDown-6",0.022,19,93,1320,1,"LinearDown-6"
"769","FlyBase Gene Group","FBgg0000595","VOLTAGE-GATED SODIUM CHANNEL SUBUNITS","LinearDown-6",0.0224,4,6,1320,1,"LinearDown-6"
"770","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","LinearUp-5",0.0225,41,510,699,5,"LinearDown-4, LinearDown-6, LinearUp-5, LinearUp-7, LinearUp-8"
"771","SLIM2 GO MF","GO:0016853","isomerase activity","Complex-10",0.0225,4,104,78,1,"Complex-10"
"772","SLIM2 GO BP","GO:0042221","response to chemical","LinearUp-5",0.0225,81,1159,699,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"773","FlyBase Gene Group","FBgg0000514","IMAGINAL DISC GROWTH FACTORS","LinearUp-8",0.0226,3,6,328,1,"LinearUp-8"
"774","FlyBase Gene Group","FBgg0001281","SIGNAL RECOGNITION PARTICLE","LinearUp-8",0.0226,3,6,328,1,"LinearUp-8"
"775","SLIM2 GO CC","GO:0005829","cytosol","Complex-10",0.0226,12,790,78,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"776","SLIM2 GO BP","GO:0006520","cellular amino acid metabolic process","Complex-6",0.0226,8,185,149,4,"Complex-10, Complex-6, Complex-7, Complex-9"
"777","SLIM2 GO BP","GO:0060429","epithelium development","Complex-8",0.0226,15,970,77,3,"Complex-8, LinearUp-2, LinearUp-5"
"778","REACTOME pathway","R-DME-112382","Formation of RNA Pol II elongation complex","LinearUp-1",0.0226,6,49,438,1,"LinearUp-1"
"779","FlyBase Gene Group","FBgg0001183","CPLCP CUTICLE PROTEIN FAMILY","Complex-12",0.0228,2,5,219,1,"Complex-12"
"780","FlyBase Gene Group","FBgg0001845","MITOCHONDRIAL COMPLEX V - TESTIS-SPECIFIC VARIANT","Complex-12",0.0228,3,17,219,1,"Complex-12"
"781","REACTOME pathway","R-DME-432626","Circadian Clock pathway","LinearUp-1",0.0232,7,65,438,1,"LinearUp-1"
"782","REACTOME pathway","R-DME-1482883","Acyl chain remodeling of DAG and TAG","LinearUp-4",0.0233,2,6,119,1,"LinearUp-4"
"783","SLIM2 GO CC","GO:0005829","cytosol","LinearUp-5",0.0234,58,790,699,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"784","REACTOME pathway","R-DME-196854","Metabolism of vitamins and cofactors","Complex-6",0.0234,7,143,149,1,"Complex-6"
"785","REACTOME pathway","R-DME-5578768","Physiological factors","LinearUp-1",0.0234,5,35,438,1,"LinearUp-1"
"786","FlyBase Gene Group","FBgg0001695","CYTOCHROME P450 - CYP3 CLAN","LinearUp-1",0.0237,6,35,438,1,"LinearUp-1"
"787","DRSC GLAD Gene Group","GLAD:24584","Chaperone and heat shock proteins","LinearUp-5",0.0239,16,144,699,3,"Complex-14, LinearUp-5, LinearUp-7"
"788","REACTOME pathway","R-DME-1980143","Signaling by NOTCH1","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"789","REACTOME pathway","R-DME-2122948","Activated NOTCH1 Transmits Signal to the Nucleus","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"790","REACTOME pathway","R-DME-3134975","Regulation of innate immune responses to cytosolic DNA","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"791","REACTOME pathway","R-DME-5213460","RIPK1-mediated regulated necrosis","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"792","REACTOME pathway","R-DME-5675482","Regulation of necroptotic cell death","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"793","REACTOME pathway","R-DME-5689877","Josephin domain DUBs","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"794","REACTOME pathway","R-DME-71387","Metabolism of carbohydrates","Complex-6",0.0239,7,152,149,4,"Complex-10, Complex-3, Complex-6, LinearDown-6"
"795","REACTOME pathway","R-DME-8849469","PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1","Complex-6",0.0239,2,5,149,2,"Complex-6, LinearUp-1"
"796","REACTOME pathway","R-DME-937042","IRAK2 mediated activation of TAK1 complex","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"797","REACTOME pathway","R-DME-937072","TRAF6-mediated induction of TAK1 complex within TLR4 complex","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"798","REACTOME pathway","R-DME-9748787","Azathioprine ADME","Complex-6",0.0239,3,21,149,1,"Complex-6"
"799","REACTOME pathway","R-DME-975163","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","Complex-6",0.0239,2,6,149,2,"Complex-6, LinearUp-1"
"800","REACTOME pathway","R-DME-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","LinearUp-2",0.024,10,78,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"801","FlyBase Gene Group","FBgg0001573","ACID ANHYDRIDE HYDROLASES","LinearUp-7",0.0244,9,282,130,1,"LinearUp-7"
"802","SLIM2 GO BP","GO:0007389","pattern specification process","LinearDown-4",0.0251,19,508,259,3,"LinearDown-4, LinearUp-2, LinearUp-5"
"803","REACTOME pathway","R-DME-597592","Post-translational protein modification","LinearUp-1",0.0252,36,705,438,2,"LinearUp-1, LinearUp-7"
"804","REACTOME pathway","R-DME-983168","Antigen processing: Ubiquitination & Proteasome degradation","LinearUp-1",0.0252,14,198,438,1,"LinearUp-1"
"805","FlyBase Gene Group","FBgg0000089","TYRAMINE RECEPTORS","LinearDown-4",0.0258,2,3,259,1,"LinearDown-4"
"806","FlyBase Gene Group","FBgg0000741","CUT HOMEOBOX TRANSCRIPTION FACTORS","LinearDown-4",0.0258,2,3,259,1,"LinearDown-4"
"807","FlyBase Gene Group","FBgg0000368","AMINOACYL-TRNA SYNTHETASES","LinearUp-5",0.026,8,36,699,1,"LinearUp-5"
"808","SLIM2 GO BP","GO:0006629","lipid metabolic process","LinearUp-2",0.026,26,491,421,2,"Complex-7, LinearUp-2"
"809","REACTOME pathway","R-DME-8956320","Nucleotide biosynthesis","LinearUp-1",0.0262,3,12,438,1,"LinearUp-1"
"810","REACTOME pathway","R-DME-901032","ER Quality Control Compartment (ERQC)","LinearUp-1",0.0262,2,4,438,2,"Complex-6, LinearUp-1"
"811","REACTOME pathway","R-DME-75955","RNA Polymerase II Transcription Elongation","LinearUp-1",0.0264,6,51,438,1,"LinearUp-1"
"812","FlyBase Gene Group","FBgg0001528","PEPTIDASE FAMILY S9","Complex-11",0.0265,3,23,97,1,"Complex-11"
"813","REACTOME pathway","R-DME-75105","Fatty acyl-CoA biosynthesis","Complex-2",0.0266,2,38,27,1,"Complex-2"
"814","REACTOME pathway","R-DME-8978868","Fatty acid metabolism","Complex-2",0.0266,3,137,27,2,"Complex-12, Complex-2"
"815","REACTOME pathway","R-DME-193144","Estrogen biosynthesis","Complex-10",0.0267,3,41,78,1,"Complex-10"
"816","SLIM2 GO MF","GO:0019899","enzyme binding","LinearDown-4",0.027,19,482,259,1,"LinearDown-4"
"817","REACTOME pathway","R-DME-372790","Signaling by GPCR","LinearDown-4",0.0271,9,132,259,2,"LinearDown-4, LinearDown-6"
"818","REACTOME pathway","R-DME-373076","Class A/1 (Rhodopsin-like receptors)","LinearDown-4",0.0271,5,41,259,2,"LinearDown-4, LinearDown-6"
"819","REACTOME pathway","R-DME-373753","Nephrin family interactions","LinearDown-4",0.0271,3,11,259,1,"LinearDown-4"
"820","FlyBase Gene Group","FBgg0000839","ACID-AMINO ACID LIGASES","Complex-13",0.0272,2,17,56,1,"Complex-13"
"821","SLIM2 GO BP","GO:0009100","glycoprotein metabolic process","LinearUp-7",0.0275,6,144,130,1,"LinearUp-7"
"822","REACTOME pathway","R-DME-388396","GPCR downstream signalling","LinearDown-4",0.0275,8,108,259,2,"LinearDown-4, LinearDown-6"
"823","REACTOME pathway","R-DME-917937","Iron uptake and transport","LinearDown-6",0.0275,17,81,1320,1,"LinearDown-6"
"824","FlyBase Gene Group","FBgg0000202","NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS","LinearDown-6",0.0279,5,10,1320,1,"LinearDown-6"
"825","FlyBase Gene Group","FBgg0001105","RECEPTOR LIGANDS","Complex-11",0.0281,5,101,97,1,"Complex-11"
"826","FlyBase Gene Group","FBgg0001353","O-GLYCOSYL HYDROLASES","Complex-3",0.0281,2,81,21,1,"Complex-3"
"827","FlyBase Gene Group","FBgg0001589","RNA HELICASES","LinearUp-4",0.0281,4,58,119,1,"LinearUp-4"
"828","DRSC GLAD Gene Group","GLAD:24586","Glycoproteins","LinearUp-8",0.0281,20,379,328,4,"LinearDown-6, LinearUp-1, LinearUp-5, LinearUp-8"
"829","REACTOME pathway","R-DME-3371453","Regulation of HSF1-mediated heat shock response","LinearUp-7",0.0281,4,54,130,1,"LinearUp-7"
"830","REACTOME pathway","R-DME-901042","Calnexin/calreticulin cycle","LinearUp-7",0.0281,2,7,130,2,"Complex-6, LinearUp-7"
"831","FlyBase Gene Group","FBgg0000333","RAS SUPERFAMILY GTPASE ACTIVATING PROTEINS","LinearUp-5",0.0283,11,66,699,2,"LinearDown-4, LinearUp-5"
"832","FlyBase Gene Group","FBgg0001100","CECROPINS","LinearUp-5",0.0283,3,4,699,1,"LinearUp-5"
"833","SLIM2 GO CC","GO:0005694","chromosome","LinearUp-2",0.0283,31,595,421,2,"LinearUp-2, LinearUp-3"
"834","FlyBase Gene Group","FBgg0000726","BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS","LinearUp-2",0.0284,5,20,421,1,"LinearUp-2"
"835","FlyBase Gene Group","FBgg0001153","HYDROXYMETHYL-, FORMYL- AND RELATED TRANSFERASES","LinearUp-2",0.0284,3,5,421,1,"LinearUp-2"
"836","SLIM2 GO BP","GO:0030163","protein catabolic process","LinearUp-1",0.0286,24,366,438,1,"LinearUp-1"
"837","DRSC GLAD Gene Group","GLAD:24586","Glycoproteins","LinearUp-5",0.0287,32,379,699,4,"LinearDown-6, LinearUp-1, LinearUp-5, LinearUp-8"
"838","REACTOME pathway","R-DME-2262752","Cellular responses to stress","LinearUp-1",0.0287,20,332,438,2,"Complex-14, LinearUp-1"
"839","REACTOME pathway","R-DME-8953897","Cellular responses to stimuli","LinearUp-1",0.0287,20,332,438,2,"Complex-14, LinearUp-1"
"840","SLIM2 GO BP","GO:0008283","cell population proliferation","LinearUp-2",0.0292,20,352,421,1,"LinearUp-2"
"841","REACTOME pathway","R-DME-9006934","Signaling by Receptor Tyrosine Kinases","LinearUp-5",0.0292,21,171,699,2,"LinearDown-6, LinearUp-5"
"842","REACTOME pathway","R-DME-5368287","Mitochondrial translation","LinearDown-2",0.0293,5,86,95,2,"LinearDown-2, LinearDown-5"
"843","REACTOME pathway","R-DME-5389840","Mitochondrial translation elongation","LinearDown-2",0.0293,5,83,95,1,"LinearDown-2"
"844","REACTOME pathway","R-DME-8956319","Nucleotide catabolism","LinearDown-2",0.0293,3,18,95,1,"LinearDown-2"
"845","FlyBase Gene Group","FBgg0000810","CARBON-OXYGEN LIGASES","LinearUp-5",0.0294,8,38,699,1,"LinearUp-5"
"846","FlyBase Gene Group","FBgg0001386","MITOCHONDRIAL COMPLEX I - CORE SUBUNITS","Complex-12",0.0295,3,19,219,1,"Complex-12"
"847","REACTOME pathway","R-DME-5689901","Metalloprotease DUBs","Complex-6",0.0297,2,7,149,1,"Complex-6"
"848","REACTOME pathway","R-DME-6804757","Regulation of TP53 Degradation","Complex-6",0.0297,2,7,149,1,"Complex-6"
"849","REACTOME pathway","R-DME-6806003","Regulation of TP53 Expression and Degradation","Complex-6",0.0297,2,7,149,1,"Complex-6"
"850","REACTOME pathway","R-DME-901042","Calnexin/calreticulin cycle","Complex-6",0.0297,2,7,149,2,"Complex-6, LinearUp-7"
"851","FlyBase Gene Group","FBgg0000121","P24 TRANSPORTERS","LinearUp-7",0.0299,2,8,130,1,"LinearUp-7"
"852","FlyBase Gene Group","FBgg0000505","CHAPERONIN CONTAINING TCP-1 COMPLEX","LinearUp-7",0.0299,2,8,130,2,"LinearUp-5, LinearUp-7"
"853","REACTOME pathway","R-DME-179409","APC-Cdc20 mediated degradation of Nek2A","LinearUp-1",0.0299,4,24,438,1,"LinearUp-1"
"854","SLIM2 GO BP","GO:0000902","cell morphogenesis","LinearDown-3",0.03,27,569,334,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"855","REACTOME pathway","R-DME-209392","Hedgehog pathway","LinearUp-1",0.0303,7,69,438,1,"LinearUp-1"
"856","SLIM2 GO BP","GO:0055086","nucleobase-containing small molecule metabolic process","LinearUp-2",0.0306,16,262,421,3,"Complex-7, LinearUp-1, LinearUp-2"
"857","FlyBase Gene Group","FBgg0000568","UBIQUITIN","Complex-6",0.0307,2,5,149,1,"Complex-6"
"858","FlyBase Gene Group","FBgg0001708","MONOOXYGENASES","Complex-6",0.0307,6,106,149,3,"Complex-6, Complex-9, LinearUp-1"
"859","FlyBase Gene Group","FBgg0001743","ATP-DEPENDENT PROTEIN FOLDING CHAPERONES","LinearUp-5",0.0308,7,30,699,2,"LinearUp-5, LinearUp-7"
"860","FlyBase Gene Group","FBgg0000832","GLYCOSIDE HYDROLASES","Complex-3",0.031,2,93,21,1,"Complex-3"
"861","SLIM2 GO CC","GO:0030135","coated vesicle","LinearUp-8",0.0312,7,70,328,2,"LinearUp-7, LinearUp-8"
"862","REACTOME pathway","R-DME-196025","Formation of annular gap junctions","LinearDown-6",0.0313,5,11,1320,1,"LinearDown-6"
"863","REACTOME pathway","R-DME-622323","Presynaptic nicotinic acetylcholine receptors","LinearDown-6",0.0313,4,7,1320,1,"LinearDown-6"
"864","REACTOME pathway","R-DME-629587","Highly sodium permeable postsynaptic acetylcholine nicotinic receptors","LinearDown-6",0.0313,4,7,1320,1,"LinearDown-6"
"865","REACTOME pathway","R-DME-629597","Highly calcium permeable nicotinic acetylcholine receptors","LinearDown-6",0.0313,4,7,1320,1,"LinearDown-6"
"866","REACTOME pathway","R-DME-975578","Reactions specific to the complex N-glycan synthesis pathway","LinearDown-6",0.0313,5,11,1320,1,"LinearDown-6"
"867","REACTOME pathway","R-DME-1234174","Cellular response to hypoxia","Complex-6",0.0314,4,56,149,2,"Complex-6, LinearUp-1"
"868","REACTOME pathway","R-DME-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","Complex-6",0.0314,4,54,149,2,"Complex-6, LinearUp-1"
"869","REACTOME pathway","R-DME-1253288","Downregulation of ERBB4 signaling","Complex-6",0.0314,2,8,149,1,"Complex-6"
"870","REACTOME pathway","R-DME-187577","SCF(Skp2)-mediated degradation of p27/p21","Complex-6",0.0314,4,53,149,2,"Complex-6, LinearUp-1"
"871","REACTOME pathway","R-DME-193639","p75NTR signals via NF-kB","Complex-6",0.0314,2,8,149,2,"Complex-6, LinearUp-1"
"872","REACTOME pathway","R-DME-193704","p75 NTR receptor-mediated signalling","LinearUp-1",0.0314,5,38,438,2,"LinearDown-6, LinearUp-1"
"873","REACTOME pathway","R-DME-196849","Metabolism of water-soluble vitamins and cofactors","Complex-6",0.0314,5,91,149,2,"Complex-3, Complex-6"
"874","REACTOME pathway","R-DME-209560","NF-kB is activated and signals survival","Complex-6",0.0314,2,8,149,2,"Complex-6, LinearUp-1"
"875","REACTOME pathway","R-DME-2559582","Senescence-Associated Secretory Phenotype (SASP)","Complex-6",0.0314,3,26,149,1,"Complex-6"
"876","REACTOME pathway","R-DME-2559583","Cellular Senescence","Complex-6",0.0314,4,53,149,1,"Complex-6"
"877","REACTOME pathway","R-DME-389661","Glyoxylate metabolism and glycine degradation","Complex-6",0.0314,3,28,149,1,"Complex-6"
"878","REACTOME pathway","R-DME-69231","Cyclin D associated events in G1","Complex-6",0.0314,3,28,149,2,"Complex-6, LinearUp-1"
"879","REACTOME pathway","R-DME-69236","G1 Phase","Complex-6",0.0314,3,28,149,2,"Complex-6, LinearUp-1"
"880","REACTOME pathway","R-DME-69615","G1/S DNA Damage Checkpoints","Complex-6",0.0314,4,55,149,2,"Complex-6, LinearUp-1"
"881","REACTOME pathway","R-DME-9664873","Pexophagy","Complex-6",0.0314,2,8,149,1,"Complex-6"
"882","REACTOME pathway","R-DME-9711123","Cellular response to chemical stress","LinearUp-1",0.0315,10,124,438,1,"LinearUp-1"
"883","REACTOME pathway","R-DME-1640170","Cell Cycle","LinearUp-3",0.0316,17,272,286,2,"LinearUp-1, LinearUp-3"
"884","REACTOME pathway","R-DME-2555396","Mitotic Metaphase and Anaphase","LinearUp-3",0.0316,9,99,286,2,"LinearUp-1, LinearUp-3"
"885","REACTOME pathway","R-DME-429914","Deadenylation-dependent mRNA decay","LinearUp-3",0.0316,6,43,286,1,"LinearUp-3"
"886","REACTOME pathway","R-DME-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","LinearUp-3",0.0316,7,63,286,1,"LinearUp-3"
"887","REACTOME pathway","R-DME-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","LinearUp-3",0.0316,6,47,286,1,"LinearUp-3"
"888","REACTOME pathway","R-DME-6783310","Fanconi Anemia Pathway","LinearUp-3",0.0316,2,2,286,1,"LinearUp-3"
"889","REACTOME pathway","R-DME-68882","Mitotic Anaphase","LinearUp-3",0.0316,9,97,286,2,"LinearUp-1, LinearUp-3"
"890","REACTOME pathway","R-DME-68886","M Phase","LinearUp-3",0.0316,11,149,286,2,"LinearUp-1, LinearUp-3"
"891","REACTOME pathway","R-DME-69278","Cell Cycle, Mitotic","LinearUp-3",0.0316,15,254,286,2,"LinearUp-1, LinearUp-3"
"892","REACTOME pathway","R-DME-425410","Metal ion SLC transporters","LinearUp-1",0.0317,3,13,438,1,"LinearUp-1"
"893","FlyBase Gene Group","FBgg0000801","LIGASES","LinearUp-5",0.0319,16,125,699,1,"LinearUp-5"
"894","SLIM2 GO BP","GO:0008219","cell death","LinearUp-7",0.0324,10,377,130,1,"LinearUp-7"
"895","SLIM2 GO MF","GO:0016874","ligase activity","LinearUp-5",0.0324,15,119,699,2,"Complex-7, LinearUp-5"
"896","REACTOME pathway","R-DME-1358803","Downregulation of ERBB2:ERBB3 signaling","Complex-6",0.0325,2,9,149,1,"Complex-6"
"897","REACTOME pathway","R-DME-156584","Cytosolic sulfonation of small molecules","Complex-6",0.0325,2,9,149,1,"Complex-6"
"898","REACTOME pathway","R-DME-174113","SCF-beta-TrCP mediated degradation of Emi1","Complex-6",0.0325,2,9,149,1,"Complex-6"
"899","REACTOME pathway","R-DME-450321","JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","Complex-6",0.0325,2,9,149,1,"Complex-6"
"900","REACTOME pathway","R-DME-5218859","Regulated Necrosis","Complex-6",0.0325,2,9,149,1,"Complex-6"
"901","REACTOME pathway","R-DME-8948747","Regulation of PTEN localization","Complex-6",0.0325,2,9,149,1,"Complex-6"
"902","REACTOME pathway","R-DME-1266738","Developmental Biology","LinearUp-5",0.0326,23,199,699,2,"LinearDown-6, LinearUp-5"
"903","REACTOME pathway","R-DME-3928665","EPH-ephrin mediated repulsion of cells","LinearDown-6",0.0327,8,26,1320,1,"LinearDown-6"
